PAIR,ENTRY,SL,TP,CONFIDENCE,RESULT,PNL
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
ETH/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
XRP/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
XRP/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,80.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
BTC/USDT,SESSION CLOSED,0.0,0.0,100.0,RUNNING,0.0
